sheet_row,API Family,Group,Endpoint Name,Method,Description,Proposed scope,Auth Type,Docs URL,Consent category,API Path,Operation ID,Environment,mapping handled?
2,Content APIs (v4),Audio,Get timestamp range,GET,Find the timestamp range for a reciter audio (chapter / verse / word level),Audio scope,App credentials,https://api-docs.quran.foundation/docs/content_apis_versioned/4.0.0/audio-reciter-timestamp/,,/audio/reciters/{reciter_id}/timestamp,audio-reciter-timestamp,Live,
3,Content APIs (v4),Audio,Lookup verse by timestamp,GET,Reverse-lookup which verse/word plays at a given millisecond offset,Audio scope,App credentials,https://api-docs.quran.foundation/docs/content_apis_versioned/4.0.0/audio-reciter-lookup/,,/audio/reciters/{reciter_id}/lookup,audio-reciter-lookup,Live,
4,Content APIs (v4),Audio,Recitations,GET,List all available ayah-by-ayah recitations,Audio scope,App credentials,https://api-docs.quran.foundation/docs/content_apis_versioned/4.0.0/recitations/,,/resources/recitations,recitations,Live,
5,Content APIs (v4),Audio,Get list of audio files of single recitation,GET,Get all audio file URLs for a specific ayah-by-ayah recitation,Audio scope,App credentials,https://api-docs.quran.foundation/docs/content_apis_versioned/4.0.0/recitation-audio-files/,,/quran/recitations/{recitation_id},recitation-audio-files,Live,
6,Content APIs (v4),Audio,List of Chapter Reciters,GET,List all reciters who have full-chapter audio available,Audio scope,App credentials,https://api-docs.quran.foundation/docs/content_apis_versioned/4.0.0/chapter-reciters/,,/resources/chapter_reciters,chapter-reciters,Live,
7,Content APIs (v4),Audio,Get Ayah recitations for specific Surah,GET,Return per-ayah audio URLs for a given Surah and recitation,Audio scope,App credentials,https://api-docs.quran.foundation/docs/content_apis_versioned/4.0.0/list-surah-recitation/,,/recitations/{recitation_id}/by_chapter/{chapter_number},list-surah-recitation,Live,
8,Content APIs (v4),Audio,Get Ayah recitations for specific Juz,GET,Return per-ayah audio URLs for a given Juz and recitation,Audio scope,App credentials,https://api-docs.quran.foundation/docs/content_apis_versioned/4.0.0/list-juz-recitation/,,/recitations/{recitation_id}/by_juz/{juz_number},list-juz-recitation,Live,
9,Content APIs (v4),Audio,Get Ayah recitations for specific Madani Mushaf page,GET,Return per-ayah audio URLs for a Madani Mushaf page,Audio scope,App credentials,https://api-docs.quran.foundation/docs/content_apis_versioned/4.0.0/list-page-recitation/,,/recitations/{recitation_id}/by_page/{page_number},list-page-recitation,Live,
10,Content APIs (v4),Audio,Get Ayah recitations for specific Rub el Hizb,GET,Return per-ayah audio URLs for a Rub el Hizb,Audio scope,App credentials,https://api-docs.quran.foundation/docs/content_apis_versioned/4.0.0/list-rub-el-hizb-recitation/,,/recitations/{recitation_id}/by_rub/{rub_el_hizb_number},list-rub-el-hizb-recitation,Live,
11,Content APIs (v4),Audio,Get Ayah recitations for specific Hizb,GET,Return per-ayah audio URLs for a Hizb,Audio scope,App credentials,https://api-docs.quran.foundation/docs/content_apis_versioned/4.0.0/list-hizb-recitation/,,/recitations/{recitation_id}/by_hizb/{hizb_number},list-hizb-recitation,Live,
12,Content APIs (v4),Audio,Get Ayah recitations for specific Ayah,GET,Return audio URL for a single ayah,Audio scope,App credentials,https://api-docs.quran.foundation/docs/content_apis_versioned/4.0.0/list-ayah-recitation/,,/recitations/{recitation_id}/by_ayah/{ayah_key},list-ayah-recitation,Live,
13,Content APIs (v4),Audio,Get Ayah recitations for specific Manzil,GET,Return per-ayah audio URLs for a Manzil,Audio scope,App credentials,https://api-docs.quran.foundation/docs/content_apis_versioned/4.0.0/list-manzil-recitation/,,/recitations/{recitation_id}/by_manzil/{manzil_number},list-manzil-recitation,Live,
14,Content APIs (v4),Audio,Get Ayah recitations for specific Ruku,GET,Return per-ayah audio URLs for a Ruku,Audio scope,App credentials,https://api-docs.quran.foundation/docs/content_apis_versioned/4.0.0/list-ruku-recitation/,,/recitations/{recitation_id}/by_ruku/{ruku_number},list-ruku-recitation,Live,
15,Content APIs (v4),Audio,List of all chapter audio files of a reciter,GET,List all chapter-level audio files for a specific chapter reciter,Audio scope,App credentials,https://api-docs.quran.foundation/docs/content_apis_versioned/4.0.0/chapter-reciter-audio-files/,,/chapter_recitations/{reciter_id},chapter-reciter-audio-files,Live,
16,Content APIs (v4),Audio,Get chapter audio file of a reciter,GET,Get the audio file for a single chapter from a specific reciter,Audio scope,App credentials,https://api-docs.quran.foundation/docs/content_apis_versioned/4.0.0/chapter-reciter-audio-file/,,/chapter_recitations/{reciter_id}/{chapter_number},chapter-reciter-audio-file,Live,
17,Content APIs (v4),Audio,Get Ayah recitations for specific Rub el Hizb (alias /by_rub_el_hizb),GET,Alias endpoint for Rub el Hizb recitations,Audio scope,App credentials,https://api-docs.quran.foundation/docs/content_apis_versioned/4.0.0/list-rub-el-hizb-recitation-rub-el-hizb/,,/recitations/{recitation_id}/by_rub_el_hizb/{rub_el_hizb_number},list-rub-el-hizb-recitation-rub-el-hizb,Live,
18,Content APIs (v4),Chapters,List Chapters,GET,List all 114 Quran chapters with name and metadata,Quran Scope,App credentials,https://api-docs.quran.foundation/docs/content_apis_versioned/4.0.0/list-chapters/,,/chapters,list-chapters,Live,
19,Content APIs (v4),Chapters,Get Chapter,GET,Get details of a single chapter by number,Quran Scope,App credentials,https://api-docs.quran.foundation/docs/content_apis_versioned/4.0.0/get-chapter/,,/chapters/{id},GET-chapter,Live,
20,Content APIs (v4),Chapters,Get Chapter Info,GET,Get introductory information / tafsir-style intro for a chapter,Quran Scope,App credentials,https://api-docs.quran.foundation/docs/content_apis_versioned/4.0.0/get-chapter-info/,,/chapters/{id}/info,get-chapter-info,Live,
21,Content APIs (v4),Hadith,Get hadith references for a specific Ayah,GET,Get ordered hadith reference records linked to a specific ayah,Hadith Scope,App credentials,https://api-docs.quran.foundation/docs/content_apis_versioned/4.0.0/hadith-references-by-ayah/,,/hadith_references/by_ayah/{ayah_key},hadith-references-by-ayah,Live,
22,Content APIs (v4),Hadith,Get hadiths for a specific Ayah,GET,Get full hadith text records linked to a specific ayah,Hadith Scope,App credentials,https://api-docs.quran.foundation/docs/content_apis_versioned/4.0.0/hadiths-by-ayah/,,/hadith_references/by_ayah/{ayah_key}/hadiths,hadiths-by-ayah,Live,
23,Content APIs (v4),Hadith,Get hadith counts within a verse range,GET,Count hadith references within a range of verses,Hadith Scope,App credentials,https://api-docs.quran.foundation/docs/content_apis_versioned/4.0.0/hadith-count-within-range/,,/hadith_references/count_within_range,hadith-count-within-range,Live,
24,Content APIs (v4),Pages,List Pages,GET,Get all pages for the selected mushaf,Quran Scope,App credentials,https://api-docs.quran.foundation/docs/content_apis_versioned/4.0.0/list-pages/,,/pages,list-pages,Live,
25,Content APIs (v4),Pages,Lookup Pages,GET,Lookup page number from a verse key or other structural identifier,Quran Scope,App credentials,https://api-docs.quran.foundation/docs/content_apis_versioned/4.0.0/get-pages-lookup/,,/pages/lookup,get-pages-lookup,Live,
26,Content APIs (v4),Pages,Get Page,GET,Get a single mushaf page by page number,Quran Scope,App credentials,https://api-docs.quran.foundation/docs/content_apis_versioned/4.0.0/get-pages-page-number/,,/pages/{page_number},get-pages-page-number,Live,
27,Content APIs (v4),Verses,By Chapter,GET,Get all verses for a given chapter (Surah),Quran Scope,App credentials,https://api-docs.quran.foundation/docs/content_apis_versioned/4.0.0/verses-by-chapter-number/,,/verses/by_chapter/{chapter_number},verses-by_chapter_number,Live,
28,Content APIs (v4),Verses,By Page,GET,Get all verses on a given Madani Mushaf page,Quran Scope,App credentials,https://api-docs.quran.foundation/docs/content_apis_versioned/4.0.0/verses-by-page-number/,,/verses/by_page/{page_number},verses-by_page_number,Live,
29,Content APIs (v4),Verses,By Juz,GET,Get all verses in a given Juz,Quran Scope,App credentials,https://api-docs.quran.foundation/docs/content_apis_versioned/4.0.0/verses-by-juz-number/,,/verses/by_juz/{juz_number},verses-by_juz_number,Live,
30,Content APIs (v4),Verses,By Hizb number,GET,Get all verses in a given Hizb,Quran Scope,App credentials,https://api-docs.quran.foundation/docs/content_apis_versioned/4.0.0/verses-by-hizb-number/,,/verses/by_hizb/{hizb_number},verses-by_hizb_number,Live,
